ID,Type,English_Text,Arabic_Text,French_Text
R01,R,I like fixing or assembling gadgets.,أحب إصلاح أو تجميع الأجهزة.,J'aime réparer ou assembler des appareils.
R02,R,I enjoy building things with tools or kits.,أستمتع ببناء الأشياء باستخدام الأدوات أو الأطقم.,J'aime construire des choses avec des outils ou des kits.
R03,R,I like setting up gaming or VR equipment.,أحب إعداد معدات الألعاب أو الواقع الافتراضي.,J'aime installer des équipements de jeux ou de réalité virtuelle.
R04,R,I enjoy doing sports or physical training.,أستمتع بممارسة الرياضة أو التمرين البدني.,J'aime faire du sport ou de l'entraînement physique.
R05,R,I like cooking or baking new recipes.,أحب الطبخ أو خبز وصفات جديدة.,J'aime cuisiner ou faire de la pâtisserie avec de nouvelles recettes.
R06,R,"I enjoy planting, gardening, or caring for pets.",أستمتع بالزراعة أو البستنة أو رعاية الحيوانات الأليفة.,J'aime planter, jardiner ou m'occuper d'animaux de compagnie.
R07,R,I like using robotics or electronics kits.,أحب استخدام أطقم الروبوتات أو الإلكترونيات.,J'aime utiliser des kits de robotique ou d'électronique.
R08,R,I enjoy helping with school stage/maintenance setups.,أستمتع بالمساعدة في تجهيز المسرح أو صيانة المدرسة.,J'aime aider à installer la scène ou à l'entretien de l'école.
R09,R,"I like outdoor activities (hiking, biking, camping).","أحب الأنشطة الخارجية (المشي الجبلي، ركوب الدراجات، التخييم).",J'aime les activités de plein air (randonnée, vélo, camping).
R10,R,I enjoy learning to use power tools safely.,أستمتع بتعلم استخدام الأدوات الكهربائية بأمان.,J'aime apprendre à utiliser des outils électriques en toute sécurité.
I01,I,I like solving science or math problems.,أحب حل مسائل العلوم أو الرياضيات.,J'aime résoudre des problèmes de sciences ou de mathématiques.
I02,I,I enjoy coding small apps or games.,أستمتع ببرمجة تطبيقات أو ألعاب صغيرة.,J'aime programmer de petites applications ou des jeux.
I03,I,I like running experiments to test ideas.,أحب إجراء تجارب لاختبار الأفكار.,J'aime faire des expériences pour tester des idées.
I04,I,I enjoy figuring out how things work.,أستمتع باكتشاف كيف تعمل الأشياء.,J'aime découvrir comment les choses fonctionnent.
I05,I,I like analyzing data in spreadsheets.,أحب تحليل البيانات في جداول البيانات.,J'aime analyser des données dans des feuilles de calcul.
I06,I,"I enjoy reading about AI, space, or medicine.",أستمتع بقراءة موضوعات عن الذكاء الاصطناعي أو الفضاء أو الطب.,J'aime lire sur l'IA, l'espace ou la médecine.
