ID,Type,Arabic_Text,English_Text,French_Text
R01,R,أحبُّ استكشاف أعطال الحواسيب والهواتف أو أجهزة المختبر في الجامعة.,"I like troubleshooting laptops, phones, or campus lab devices.","J'aime dépanner les ordinateurs portables, les téléphones ou les appareils de laboratoire du campus."
R02,R,أستمتع بتجميع الأثاث أو المعدات أو أطقم المختبرات الابتكارية.,"I enjoy assembling furniture, equipment, or maker‑lab kits.","J'aime assembler des meubles, des équipements ou des kits de laboratoire créatif."
R03,R,"أحب إعداد عتاد الحاسوب، الشاشات المزدوجة أو الشبكات.","I like setting up PC hardware, dual monitors, or networks.","J'aime configurer le matériel informatique, les écrans doubles ou les réseaux."
R04,R,أستمتع بالعمل التطبيقي في المختبر أو العمل الميداني أو الزيارات الميدانية.,"I enjoy hands‑on lab work, fieldwork, or site visits.","J'aime le travail pratique en laboratoire, le travail sur le terrain ou les visites de sites."
R05,R,أحب قيادة أو تشغيل أو اختبار الآلات بأمان.,"I like driving, operating, or testing machines safely.","J'aime conduire, faire fonctionner ou tester des machines en toute sécurité."
R06,R,أستمتع بالنجارة البسيطة أو الإصلاحات أو تجهيز المرافق للفعاليات.,"I enjoy basic carpentry, repairs, or facilities setup for events.","J'aime la menuiserie de base, les réparations ou la préparation des installations pour les événements."
R07,R,"أحب تعلم استخدام الأدوات (المتعدد القياس، الطابعة ثلاثية الأبعاد، الأدوات الكهربائية).","I like learning to use tools (multimeter, 3D printer, power tools).","J'aime apprendre à utiliser des outils (multimètre, imprimante 3D, outils électriques)."
R08,R,أستمتع بالطبخ أو الخَبز في السكن الجامعي أو الأندية أو عربات الطعام المؤقتة.,"I enjoy cooking or baking for dorms, clubs, or pop‑ups.","J'aime cuisiner ou faire de la pâtisserie pour les résidences, les clubs ou les stands éphémères."
R09,R,"أحب الأعمال الخارجية: اللوجستيات، نصب الخيام، أو تجهيزات الرياضة.","I like outdoor tasks: logistics, tents, or sports equipment.","J'aime les tâches en plein air : logistique, montage de tentes ou équipements sportifs."
R10,R,أستمتع ببناء نماذج أولية باستخدام أطقم الروبوتات/الإلكترونيات.,I enjoy building prototypes with robotics/electronics kits.,J'aime construire des prototypes avec des kits de robotique/électronique.
I01,I,أحب تحليل البيانات لمشاريع المقررات أو الأبحاث أو التدريب العملي.,"I like analyzing data for class projects, research, or internships.","J'aime analyser des données pour des projets de cours, des recherches ou des stages."
I02,I,أستمتع بقراءة الدوريات أو المصادر الموثوقة لحل المشكلات.,I enjoy reading journals or credible sources to solve problems.,J'aime lire des revues ou des sources fiables pour résoudre des problèmes.
I03,I,أحب برمجة سكربتات أو تطبيقات أو أتمتة لتوفير الوقت.,"I like coding scripts, apps, or automations to save time.","J'aime programmer des scripts, des applications ou des automatisations pour gagner du temps."
I04,I,أستمتع بتصميم تجارب أو محاكاة لاختبار الأفكار.,I enjoy designing experiments or simulations to test ideas.,J'aime concevoir des expériences ou des simulations pour tester des idées.
I05,I,أحب التعرف على اتجاهات الذكاء الاصطناعي أو الأمن السيبراني أو التقانة الحيوية.,"I like learning about AI, cybersecurity, or biotech trends.","J'aime me renseigner sur les tendances en IA, cybersécurité ou biotechnologie."
I06,I,أستمتع بألغاز الرياضيات/المنطق وحل المشكلات بشكل منهجي.,I enjoy math/logic puzzles and systematic problem‑solving.,J'aime les énigmes mathématiques/logiques et la résolution systématique de problèmes.
I07,I,أحب استخدام بايثون/‏R/‏إكسل لنمذجة البيانات أو تصورها.,I like using Python/R/Excel to model or visualize data.,J'aime utiliser Python/R/Excel pour modéliser ou visualiser des données.
I08,I,أستمتع بطرح سؤال 'لماذا' والبحث عن إجابات مبنية على الأدلة.,I enjoy asking 'why' and researching evidence‑based answers.,J'aime poser la question « pourquoi » et rechercher des réponses fondées sur des preuves.
I09,I,أحب المشاركة في الهكاثونات أو مسابقات الحالات أو مجموعات البحث.,"I like participating in hackathons, case comps, or research groups.","J'aime participer à des hackathons, des compétitions de cas ou des groupes de recherche."
